"TIME","METROREG","UNIT","Value","Flag and Footnotes"
"2004","Denmark","Million euro","202,422.21",""
"2005","Denmark","Million euro","212,832.34",""
"2006","Denmark","Million euro","225,531.23",""
"2007","Denmark","Million euro","233,383.22",""
"2008","Denmark","Million euro","241,613.47",""
"2009","Denmark","Million euro","231,278.1",""
"2010","Denmark","Million euro","243,165.44",""
"2011","Denmark","Million euro","247,879.9",""
"2012","Denmark","Million euro","254,577.97",""
"2013","Denmark","Million euro","258,742.68",""
"2014","Denmark","Million euro","265,756.96",""
"2015","Denmark","Million euro","273,017.55",""
"2016","Denmark","Million euro","283,109.65",""
"2017","Denmark","Million euro","292,407.98",""
"2018","Denmark","Million euro","301,340.9",""
"2000","København","Million euro","69,552",""
"2001","København","Million euro","72,234.64",""
"2002","København","Million euro","73,196.58",""
"2003","København","Million euro","75,221.58",""
"2004","København","Million euro","79,863.47",""
"2005","København","Million euro","85,475.8",""
"2006","København","Million euro","87,191.06",""
"2007","København","Million euro","89,941.8",""
"2008","København","Million euro","93,543.67",""
"2009","København","Million euro","91,974.31",""
"2010","København","Million euro","99,536.99",""
"2011","København","Million euro","99,491.83",""
"2012","København","Million euro","103,492.48",""
"2013","København","Million euro","106,985.59",""
"2014","København","Million euro","111,888.91",""
"2015","København","Million euro","117,954.49",""
"2016","København","Million euro","121,457.88",""
"2017","København","Million euro","125,602.6",""
"2018","København","Million euro","129,534.88",""
"2000","Århus","Million euro","23,057.81",""
"2001","Århus","Million euro","24,137.01",""
"2002","Århus","Million euro","25,263.39",""
"2003","Århus","Million euro","25,502.19",""
"2004","Århus","Million euro","26,379.34",""
"2005","Århus","Million euro","27,320.05",""
"2006","Århus","Million euro","29,638.41",""
"2007","Århus","Million euro","30,654.85",""
"2008","Århus","Million euro","31,941.03",""
"2009","Århus","Million euro","31,595.56",""
"2010","Århus","Million euro","31,920.75",""
"2011","Århus","Million euro","32,889.06",""
"2012","Århus","Million euro","33,488.16",""
"2013","Århus","Million euro","33,772.12",""
"2014","Århus","Million euro","34,552.85",""
"2015","Århus","Million euro","35,429.03",""
"2016","Århus","Million euro","38,214.29",""
"2017","Århus","Million euro","39,862.69",""
"2018","Århus","Million euro","40,991.02",""
"2000","Odense","Million euro","12,742.74",""
"2001","Odense","Million euro","13,230.32",""
"2002","Odense","Million euro","13,750.38",""
"2003","Odense","Million euro","13,856.62",""
"2004","Odense","Million euro","14,346.6",""
"2005","Odense","Million euro","14,572.69",""
"2006","Odense","Million euro","15,654.62",""
"2007","Odense","Million euro","16,269.41",""
"2008","Odense","Million euro","17,069.96",""
"2009","Odense","Million euro","16,520.45",""
"2010","Odense","Million euro","16,521.32",""
"2011","Odense","Million euro","16,922.49",""
"2012","Odense","Million euro","17,036.69",""
"2013","Odense","Million euro","17,251.52",""
"2014","Odense","Million euro","17,696.94",""
"2015","Odense","Million euro","18,117.68",""
"2016","Odense","Million euro","18,875.75",""
"2017","Odense","Million euro","19,398.25",""
"2018","Odense","Million euro","20,020.86",""
"2000","Aalborg","Million euro","16,647.04",""
"2001","Aalborg","Million euro","17,177.01",""
"2002","Aalborg","Million euro","18,143.83",""
"2003","Aalborg","Million euro","18,456.3",""
"2004","Aalborg","Million euro","18,511.92",""
"2005","Aalborg","Million euro","18,973.06",""
"2006","Aalborg","Million euro","20,513.16",""
"2007","Aalborg","Million euro","21,431.48",""
"2008","Aalborg","Million euro","21,888.78",""
"2009","Aalborg","Million euro","21,130.47",""
"2010","Aalborg","Million euro","21,366.13",""
"2011","Aalborg","Million euro","21,628.15",""
"2012","Aalborg","Million euro","22,342.4",""
"2013","Aalborg","Million euro","22,603.35",""
"2014","Aalborg","Million euro","22,880.11",""
"2015","Aalborg","Million euro","23,613.64",""
"2016","Aalborg","Million euro","24,388.31",""
"2017","Aalborg","Million euro","25,361.27",""
"2018","Aalborg","Million euro","26,104.29",""
"2000","Non-metropolitan regions in Denmark","Million euro","50,547.99",""
"2001","Non-metropolitan regions in Denmark","Million euro","52,419.53",""
"2002","Non-metropolitan regions in Denmark","Million euro","54,565.27",""
"2003","Non-metropolitan regions in Denmark","Million euro","55,378.45",""
"2004","Non-metropolitan regions in Denmark","Million euro","57,193.13",""
"2005","Non-metropolitan regions in Denmark","Million euro","58,043.77",""
"2006","Non-metropolitan regions in Denmark","Million euro","63,086.2",""
"2007","Non-metropolitan regions in Denmark","Million euro","65,608.19",""
"2008","Non-metropolitan regions in Denmark","Million euro","66,786.51",""
"2009","Non-metropolitan regions in Denmark","Million euro","63,360.89",""
"2010","Non-metropolitan regions in Denmark","Million euro","66,173.35",""
"2011","Non-metropolitan regions in Denmark","Million euro","68,006.92",""
"2012","Non-metropolitan regions in Denmark","Million euro","69,280.31",""
"2013","Non-metropolitan regions in Denmark","Million euro","70,575.31",""
"2014","Non-metropolitan regions in Denmark","Million euro","72,447.1",""
"2015","Non-metropolitan regions in Denmark","Million euro","73,956.68",""
"2016","Non-metropolitan regions in Denmark","Million euro","76,703.45",""
"2017","Non-metropolitan regions in Denmark","Million euro","78,796.76",""
"2018","Non-metropolitan regions in Denmark","Million euro","81,194.36",""
"2000","Germany (until 1990 former territory of the FRG)","Million euro","2,109,090",""
"2001","Germany (until 1990 former territory of the FRG)","Million euro","2,172,540",""
"2002","Germany (until 1990 former territory of the FRG)","Million euro","2,198,120",""
"2003","Germany (until 1990 former territory of the FRG)","Million euro","2,211,570",""
"2004","Germany (until 1990 former territory of the FRG)","Million euro","2,262,520",""
"2005","Germany (until 1990 former territory of the FRG)","Million euro","2,288,310",""
"2006","Germany (until 1990 former territory of the FRG)","Million euro","2,385,080",""
"2007","Germany (until 1990 former territory of the FRG)","Million euro","2,499,550",""
"2008","Germany (until 1990 former territory of the FRG)","Million euro","2,546,490",""
"2009","Germany (until 1990 former territory of the FRG)","Million euro","2,445,730",""
"2010","Germany (until 1990 former territory of the FRG)","Million euro","2,564,400",""
"2011","Germany (until 1990 former territory of the FRG)","Million euro","2,693,560",""
"2012","Germany (until 1990 former territory of the FRG)","Million euro","2,745,310",""
"2013","Germany (until 1990 former territory of the FRG)","Million euro","2,811,350",""
"2014","Germany (until 1990 former territory of the FRG)","Million euro","2,927,430",""
"2015","Germany (until 1990 former territory of the FRG)","Million euro","3,030,070","p"
"2016","Germany (until 1990 former territory of the FRG)","Million euro","3,134,100","p"
"2017","Germany (until 1990 former territory of the FRG)","Million euro","3,244,990","p"
"2018","Germany (until 1990 former territory of the FRG)","Million euro","3,344,370","e"
"2000","Berlin","Million euro","111,904","e"
"2001","Berlin","Million euro","113,545","e"
"2002","Berlin","Million euro","113,864","e"
"2003","Berlin","Million euro","113,648","e"
"2004","Berlin","Million euro","114,842","e"
"2005","Berlin","Million euro","116,979","e"
"2006","Berlin","Million euro","121,623","e"
"2007","Berlin","Million euro","126,933","e"
"2008","Berlin","Million euro","132,281","e"
"2009","Berlin","Million euro","131,507","e"
"2010","Berlin","Million euro","136,657","e"
"2011","Berlin","Million euro","143,183","e"
"2012","Berlin","Million euro","145,889","e"
"2013","Berlin","Million euro","150,053","e"
"2014","Berlin","Million euro","158,116","e"
"2015","Berlin","Million euro","166,257","e"
"2016","Berlin","Million euro","176,282","e"
"2017","Berlin","Million euro","184,145","e"
"2018","Berlin","Million euro",":",""
"2000","Hamburg","Million euro","106,324","e"
"2001","Hamburg","Million euro","111,376","e"
"2002","Hamburg","Million euro","112,416","e"
"2003","Hamburg","Million euro","112,824","e"
"2004","Hamburg","Million euro","115,712","e"
"2005","Hamburg","Million euro","118,694","e"
"2006","Hamburg","Million euro","121,293","e"
"2007","Hamburg","Million euro","125,084","e"
"2008","Hamburg","Million euro","128,296","e"
"2009","Hamburg","Million euro","123,952","e"
"2010","Hamburg","Million euro","127,276","e"
"2011","Hamburg","Million euro","130,373","e"
"2012","Hamburg","Million euro","133,523","e"
"2013","Hamburg","Million euro","138,419","e"
"2014","Hamburg","Million euro","142,644","e"
"2015","Hamburg","Million euro","149,161","e"
"2016","Hamburg","Million euro","151,759","e"
"2017","Hamburg","Million euro","157,840","e"
"2018","Hamburg","Million euro",":",""
"2000","München","Million euro","114,553","e"
"2001","München","Million euro","120,348","e"
"2002","München","Million euro","122,440","e"
"2003","München","Million euro","120,382","e"
"2004","München","Million euro","124,873","e"
"2005","München","Million euro","126,908","e"
"2006","München","Million euro","131,250","e"
"2007","München","Million euro","139,235","e"
"2008","München","Million euro","136,575","e"
"2009","München","Million euro","134,088","e"
"2010","München","Million euro","137,177","e"
"2011","München","Million euro","147,566","e"
"2012","München","Million euro","152,539","e"
"2013","München","Million euro","157,344","e"
"2014","München","Million euro","163,698","e"
"2015","München","Million euro","171,804","e"
"2016","München","Million euro","180,032","e"
"2017","München","Million euro","189,161","e"
"2018","München","Million euro",":",""
"2000","Köln","Million euro","64,392","e"
"2001","Köln","Million euro","66,568","e"
"2002","Köln","Million euro","66,891","e"
"2003","Köln","Million euro","67,351","e"
"2004","Köln","Million euro","68,812","e"
"2005","Köln","Million euro","68,210","e"
"2006","Köln","Million euro","71,403","e"
"2007","Köln","Million euro","75,337","e"
"2008","Köln","Million euro","73,300","e"
"2009","Köln","Million euro","72,475","e"
"2010","Köln","Million euro","74,607","e"
"2011","Köln","Million euro","77,385","e"
"2012","Köln","Million euro","79,147","e"
"2013","Köln","Million euro","81,058","e"
"2014","Köln","Million euro","85,595","e"
"2015","Köln","Million euro","91,880","e"
"2016","Köln","Million euro","93,639","e"
"2017","Köln","Million euro","96,636","e"
"2018","Köln","Million euro",":",""
"2000","Frankfurt am Main","Million euro","105,046","e"
"2001","Frankfurt am Main","Million euro","109,018","e"
"2002","Frankfurt am Main","Million euro","108,478","e"
"2003","Frankfurt am Main","Million euro","111,876","e"
"2004","Frankfurt am Main","Million euro","112,588","e"
"2005","Frankfurt am Main","Million euro","113,174","e"
"2006","Frankfurt am Main","Million euro","117,441","e"
"2007","Frankfurt am Main","Million euro","121,362","e"
"2008","Frankfurt am Main","Million euro","122,669","e"
