"TIME","METROREG","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"2010","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,462",""
"2011","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,451",""
"2012","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,474",""
"2013","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,472",""
"2014","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,451",""
"2015","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,475",""
"2016","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,490",""
"2017","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,536",""
"2018","Praha","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Brno","Thousand persons","Employed persons","Total - all NACE activities","544",""
"2000","Brno","Thousand persons","Employed persons","Total - all NACE activities","536",""
"2001","Brno","Thousand persons","Employed persons","Total - all NACE activities","524",""
"2002","Brno","Thousand persons","Employed persons","Total - all NACE activities","517",""
"2003","Brno","Thousand persons","Employed persons","Total - all NACE activities","523",""
"2004","Brno","Thousand persons","Employed persons","Total - all NACE activities","519",""
"2005","Brno","Thousand persons","Employed persons","Total - all NACE activities","530",""
"2006","Brno","Thousand persons","Employed persons","Total - all NACE activities","533",""
"2007","Brno","Thousand persons","Employed persons","Total - all NACE activities","550",""
"2008","Brno","Thousand persons","Employed persons","Total - all NACE activities","566",""
"2009","Brno","Thousand persons","Employed persons","Total - all NACE activities","553",""
"2010","Brno","Thousand persons","Employed persons","Total - all NACE activities","555",""
"2011","Brno","Thousand persons","Employed persons","Total - all NACE activities","554",""
"2012","Brno","Thousand persons","Employed persons","Total - all NACE activities","563",""
"2013","Brno","Thousand persons","Employed persons","Total - all NACE activities","573",""
"2014","Brno","Thousand persons","Employed persons","Total - all NACE activities","576",""
"2015","Brno","Thousand persons","Employed persons","Total - all NACE activities","591",""
"2016","Brno","Thousand persons","Employed persons","Total - all NACE activities","595",""
"2017","Brno","Thousand persons","Employed persons","Total - all NACE activities","597",""
"2018","Brno","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","537",""
"2000","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","525",""
"2001","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","522",""
"2002","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","532",""
"2003","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","517",""
"2004","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","512",""
"2005","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","529",""
"2006","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","527",""
"2007","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","543",""
"2008","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","553",""
"2009","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","539",""
"2010","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","529",""
"2011","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","528",""
"2012","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","534",""
"2013","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","534",""
"2014","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","540",""
"2015","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","541",""
"2016","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","557",""
"2017","Ostrava","Thousand persons","Employed persons","Total - all NACE activities","569",""
"2018","Ostrava","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Plzen","Thousand persons","Employed persons","Total - all NACE activities","269",""
"2000","Plzen","Thousand persons","Employed persons","Total - all NACE activities","270",""
"2001","Plzen","Thousand persons","Employed persons","Total - all NACE activities","270",""
"2002","Plzen","Thousand persons","Employed persons","Total - all NACE activities","272",""
